year,state,crop,yield,avg_temp,avg_temp_min,total_rain,avg_wind
2018,WA,CORN,192.0,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2018,WA,CORN,257.0,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2018,WA,CORN,256.0,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2018,WA,CORN,32.0,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2018,WA,CORN,28.0,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2018,WA,CORN,29.0,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2022,WA,CORN,225.8,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2017,WA,CORN,227.1,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2022,WA,CORN,29.1,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2017,WA,CORN,28.6,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2022,WA,CORN,271.1,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2022,WA,CORN,19.9,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2017,WA,CORN,20.8,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2022,WA,CORN,21.4,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2017,WA,CORN,23.0,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2018,WA,CORN,240.8,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2017,WA,CORN,274.8,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2015,WA,CORN,245.3,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2019,WA,CORN,246.4,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2017,WA,CORN,219.4,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2015,WA,CORN,208.8,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2018,WA,CORN,198.0,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2017,WA,CORN,172.6,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2019,WA,CORN,218.1,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
2018,WA,CORN,213.1,15.403287671232874,7.738630136986302,1732.8000000000002,10.654246575342466
